,humidity,pressure,rain,lightAvg,lightMax,moisture,temperature
286,49.40972,1013.020833,0.0,4488.9103,54612,4.0,20.0
444,95.40151999999999,1006.499242,0.0,10.4848,4000,33.7197,26.08333
404,96.53520999999999,1011.6414789999999,67.5,4772.6625,54612,65.0423,25.6338
425,98.97248,686.7717431,18.0,1221.5882,4000,65.0,22.48624
842,92.30303,1016.089091,23474.25,430.0536,4000,71.0606,25.43434
133,61.923080000000006,789.3926922999999,3.0,1.0,4000,1.0,23.53846
518,67.8972,1025.544022,0.0,417.0392,4000,6.0,7.6729
755,58.619719999999994,1018.866831,80000.0,45463.9348,54612,77.0915,22.17606
711,93.87912,1009.379121,2814.75,2023.5472,6374,57.3846,23.23077
0,82.1875,1036.346875,6.75,5.5,4000,0.0,25.46875
667,99.0,1004.166905,0.0,245.0833,4000,52.1667,21.7381
595,98.83333,1015.949333,0.0,776.5652,6278,0.0,20.76667
420,95.46789,908.8221101,15.75,1057.557,4000,66.2752,25.51376
617,74.69565,1019.3913039999999,0.0,317.6222,4000,0.0,16.5
417,99.0,1010.227,0.0,465.0769,4000,64.0,24.85
675,96.13636,1012.602045,0.0,151.0,4000,51.9091,24.70455
172,83.14737,1010.748947,47.25,41.5735,4000,0.0,27.01053
125,80.20149,1022.414925,0.0,3020.8065,6569,0.3284,15.417910000000001
746,99.0,1017.204752,285.75,1916.8,9524,80.8723,17.056739999999998
873,64.97183000000001,1022.259859,24522.75,483.64,4000,100.0,17.74648
851,97.63218,1014.3567820000001,10062.0,175.1875,4000,66.8966,25.12644
90,87.72662,1020.0294960000001,315.0,6855.3286,54612,0.295,17.712229999999998
885,86.88971,1022.210515,43974.0,6009.4464,30888,42.5147,22.96324
181,81.82857,1016.471571,13.5,37.5758,4000,2.9,26.21429
274,68.13287,1018.983217,0.0,4488.9103,54612,4.2028,20.328670000000002
844,98.51515,1015.74404,243.0,153.5,4000,68.5859,23.929289999999998
69,85.64286,1016.66,0.0,4263.4459,11103,12.5357,23.328570000000003
291,53.67856999999999,1021.317857,0.0,4488.9103,54612,3.0,17.83036
131,64.97059,894.0100735,0.0,24.9873,4000,0.0882,26.860290000000003
300,76.79851,1053.3156720000002,0.0,4488.9103,54612,2.5373,15.00746
552,95.69230999999999,1009.087143,0.0,2380.1132,27180,0.0,24.87912
144,71.09023,1003.409624,24.75,9803.7342,54612,10.4211,29.08271
135,75.07463,893.6775372999999,13583.25,21.1111,4000,1.0,27.88806
164,90.16901,1009.857113,63.0,28.1644,4000,0.0,25.46479
28,99.0,1012.8359710000001,108.0,3885.4691,10057,2.0,22.88489
530,95.17605999999999,1059.3488730000001,63.0,19.1795,4000,64.2324,25.35915
193,66.26087,1018.8654349999999,0.0,71.5,4000,4.8043,26.11957
841,92.6,1012.8910000000001,2893.5,746.5,4000,68.4,27.7
602,86.59783,1019.1440220000001,2.25,523.9565,4000,0.0,18.1087
169,78.91509,1012.1749060000001,0.0,38.475,4000,0.0,27.66981
428,97.16667,827.5075926,551.25,93.6667,4000,66.9074,20.88889
140,69.27143000000001,1001.904714,13.5,785.2619,4000,9.0571,29.092859999999998
173,79.58268000000001,1012.733858,45.0,54.2239,4000,2.0,27.51969
6,96.17143,1006.5685710000001,38.25,134.9,4000,93.2,23.48571
606,91.73684,1016.9037890000001,4.5,286.5417,4000,0.0,17.21053
814,57.0,1013.786667,688.5,0.0,4000,73.6667,13.5
73,99.0,1016.937594,1215.0,4263.4459,11103,6.8647,15.969920000000002
754,71.4964,1017.5398560000001,80000.0,24249.1644,54612,76.2086,22.21583
362,34.26923,1055.766767,0.0,1125.7119,31082,5.3383,12.727269999999999
238,96.49306,1011.3701390000001,409.5,4488.9103,54612,6.8333,24.93056
145,74.71329,1002.863497,679.5,8401.25,52476,13.965,28.328670000000002
749,81.44681,1015.291064,80000.0,19219.88,54612,74.4681,22.87943
234,94.02797,1010.6692310000001,0.0,4488.9103,54612,8.0,26.405590000000004
220,93.75352,1000.405634,0.0,4488.9103,54612,12.8732,24.96479
692,95.6,984.0891429,54.0,758.2222,4000,84.8,21.54286
439,71.68056,899.7149306,0.0,6.1714,4000,2.0,27.611109999999996
132,62.42609,893.8089564999999,0.0,31.5125,4000,0.8,29.31304
935,68.92908,1023.519645,72445.5,5521.1231,47460,53.1277,14.489360000000001
735,91.24113,1012.697376,920.25,3804.9342,9295,97.0142,22.808510000000002
185,90.11905,1011.939524,9.0,15.6875,4000,2.4048,22.88095
41,99.0,1010.340741,1167.75,1911.2338,7800,24.4,21.940739999999998
576,97.16346,1013.8538460000001,2.25,1090.56,4000,0.0,22.99038
108,76.35461,1023.5893619999999,0.0,4217.0441,8616,0.0,18.2695
751,92.57446999999999,1017.125674,50242.5,29345.32,54612,78.6383,21.0922
56,97.46154,1015.7373630000001,162.0,5152.8955,54612,24.7363,24.47253
355,34.26923,1054.972609,0.0,0.0,4000,6.1304,12.727269999999999
864,92.86131,1017.4110949999999,33941.25,483.64,4000,95.5839,25.31387
531,90.1773,1059.07,0.0,30.6795,4000,67.7092,26.60993
24,99.0,1009.037324,776.25,351.0875,4000,1.0,20.0493
616,78.19792,1018.207604,0.0,280.9574,4000,0.0,16.28125
485,96.69014,1012.2645769999999,0.0,2482.5968,54612,21.3239,25.64789
493,91.34188,1026.844701,0.0,624.25,4000,4.0,17.29915
338,61.037040000000005,1053.282778,0.0,0.0,4000,0.0,13.0
51,99.0,1013.148551,634.5,2844.4684,12538,24.4855,20.86957
611,94.03226,1019.4229029999999,4.5,279.7174,4000,0.0,15.903229999999999
867,93.56028,1021.342411,11144.25,483.64,4000,100.0,24.55319
598,98.56522,1016.893152,2.25,478.7391,4000,0.0,19.467389999999998
264,85.6338,1016.287324,4.5,4488.9103,54612,5.0,22.1338
495,98.18852,1026.812541,119.25,417.0392,4000,4.0,13.36885
644,99.0,1012.6522630000001,0.0,1425.747,5135,48.3869,23.0219
462,99.0,1010.275248,105.75,1729.9639,12693,18.6525,24.39007
516,67.8972,1028.3161400000001,0.0,417.0392,4000,7.0,7.6729
18,97.80142,1009.378723,0.0,1817.5952,5536,2.0355,23.66667
854,93.83459,1016.0045859999999,29517.75,7252.8592,54612,69.0226,24.99248
536,99.0,995.4635,1689.75,2031.9294,6921,48.5929,22.68571
827,92.06716,1012.31,4610.25,1009.1139,4000,72.1791,24.38806
367,67.31645999999999,899.2087975,80000.0,11.1951,4000,17.5127,26.86709
83,80.41844,1020.691489,74.25,4351.6901,13652,3.3901,20.156029999999998
61,97.23358,1013.544526,87.75,4263.4459,11103,22.0438,22.29927
382,95.41176,1006.236985,468.0,10.575,4000,67.3456,25.323529999999998
272,67.93056,1012.6025689999999,0.0,4488.9103,54612,5.0,20.34722
285,57.45139,1011.8069439999999,0.0,4488.9103,54612,4.0,19.30556
360,34.26923,1056.560455,0.0,29.0714,4000,6.2273,12.727269999999999
354,34.26923,1051.827176,0.0,111.4107,4000,5.9695,12.727269999999999
613,90.02128,1019.2060640000001,0.0,240.08700000000002,4000,0.0,15.882979999999998
278,83.57746,452.09788729999997,0.0,4488.9103,54612,4.0,15.47887
12,98.0,1009.8952,717.75,1356.7432,6495,3.832,22.904
182,80.53333,1017.527067,0.0,45.5789,4000,2.5733,25.706670000000003
368,68.20755,898.5453458999999,80000.0,11.6707,4000,19.5975,27.77358
432,99.0,789.3926922999999,344.25,35.1429,4000,66.8333,20.13889
581,98.93182,1011.115227,0.0,726.2889,4000,0.0,21.806820000000002
