seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy,class
1,1,1,12740,203,-33,-39,1,0,0,0
2,2,2,13040,103,4,-59,1,3000,3000,0
1,2,1,48110,433,92,-13,1,0,0,0
1,1,2,6040,41,-13,-33,1,3300,3000,0
1,1,2,46160,250,-16,15,1,6000,6000,0
1,1,1,24100,197,16,-45,1,0,0,0
1,1,1,144880,361,-46,-52,1,2000,2000,0
1,2,2,7130,105,134,142,2,0,0,0
1,3,1,40750,725,3,18,3,0,0,0
2,1,1,19180,289,-36,-35,1,0,0,0
1,1,1,43660,281,-44,-29,1,700,700,0
1,1,1,628360,636,-37,-58,1,2300,2000,0
2,1,1,16590,324,61,17,1,300,300,0
1,2,1,111510,169,-36,-63,1,5000,3000,0
2,2,2,16470,661,60,88,1,0,0,0
2,2,1,18580,121,-31,-59,1,1200,800,0
1,3,1,106030,988,148,49,2,0,0,0
2,1,1,12030,308,-16,-26,1,0,0,0
2,1,1,311200,1147,-38,-62,1,14400,9000,0
1,1,1,1062280,1982,-27,-27,1,5200,5000,0
1,3,1,26590,552,-34,-13,3,0,0,0
2,2,1,47670,507,40,-11,1,0,0,0
2,1,2,6970,154,-33,-25,1,0,0,0
1,1,1,7000,131,-40,-56,1,1000,1000,0
1,2,1,45560,591,79,33,1,0,0,0
1,1,2,28020,51,12,-14,1,0,0,0
1,2,1,22260,493,-13,11,1,900,900,0
1,1,2,4140,186,-67,-26,1,0,0,0
2,1,1,12950,428,-38,-31,1,0,0,0
1,1,2,2890,28,2,-30,1,0,0,0
2,1,1,16940,288,47,18,1,0,0,0
1,1,1,63950,297,11,-6,1,0,0,0
1,2,1,14180,348,-24,-44,1,0,0,0
2,1,1,645750,2035,7,6,1,63800,40000,0
1,1,2,6760,24,-37,-40,1,0,0,0
1,1,2,129740,306,-39,-44,1,0,0,0
1,2,1,22990,395,-8,-12,1,0,0,0
1,1,1,182210,1766,63,63,1,17800,7000,0
1,1,1,33310,274,-30,-27,1,6800,3000,0
1,1,1,15080,306,-56,-48,1,0,0,0
1,2,1,10220,434,-45,-14,1,0,0,0
1,2,1,148160,1282,1,0,1,1300,900,0
2,1,1,20670,376,-25,-10,1,0,0,0
1,1,1,14080,172,-38,-65,1,0,0,0
2,1,1,16330,270,7,-14,1,0,0,0
1,1,2,28710,454,207,40,1,4000,4000,0
1,1,1,31040,322,-10,1,1,9000,4000,0
2,2,2,19760,445,114,101,1,0,0,0
1,1,1,37640,596,37,58,1,0,0,0
1,2,1,13930,423,-26,-32,1,0,0,0
1,1,2,144520,407,-34,-27,1,3000,3000,0
1,2,1,23710,387,-32,-31,1,1000,1000,0
1,2,1,45450,491,63,2,1,400,400,0
1,2,1,25710,365,-25,-33,1,10000,10000,0
1,1,1,9710,248,-72,-57,1,0,0,0
1,2,2,19040,50,7,0,1,0,0,0
1,1,2,39510,204,12,40,1,5000,5000,0
2,2,2,9530,178,-24,-29,1,0,0,0
2,2,1,65960,496,164,-1,1,2200,2000,0
2,2,1,289580,1986,-38,2,1,54000,50000,0
1,2,1,58570,481,110,0,1,400,400,0
2,1,1,163510,1534,13,23,1,72000,70000,0
1,1,1,22890,283,104,23,1,0,0,0
2,2,1,36650,414,41,-14,1,0,0,0
1,2,2,20250,45,13,-10,1,0,0,0
2,1,1,28910,307,115,20,1,0,0,0
1,3,1,34360,730,10,39,3,0,0,0
1,1,2,2870,21,-2,-48,1,0,0,0
2,1,1,25400,398,-29,-8,1,6000,4000,0
1,2,1,14980,267,-7,9,1,0,0,0
1,1,2,4720,186,-62,-26,1,0,0,0
1,2,2,3410,33,-62,-32,1,0,0,0
1,1,1,38230,835,61,63,1,0,0,0
2,1,1,65490,735,60,72,1,72000,60000,0
1,1,1,395110,1043,46,40,1,6000,2000,0
1,2,1,11630,481,-27,21,1,0,0,0
1,2,2,5630,98,64,86,1,0,0,0
