Date,HP
02-01-2019 00:00,30
03-01-2019 00:00,30.1
04-01-2019 00:00,30.1
05-01-2019 00:00,30.2
06-01-2019 00:00,31
07-01-2019 00:00,30.1
08-01-2019 00:00,29.2
09-01-2019 00:00,25.3
10-01-2019 00:00,26.5
11-01-2019 00:00,23.9
12-01-2019 00:00,26.4
13-01-2019 00:00,26.4
14-01-2019 00:00,26.9
15-01-2019 00:00,25.6
16-01-2019 00:00,29.4
17-01-2019 00:00,29.8
18-01-2019 00:00,27.9
19-01-2019 00:00,28.7
20-01-2019 00:00,28.1
21-01-2019 00:00,28.8
22-01-2019 00:00,26.5
23-01-2019 00:00,27.3
24-01-2019 00:00,27.6
25-01-2019 00:00,25.7
26-01-2019 00:00,26.2
27-01-2019 00:00,27
28-01-2019 00:00,26.9
29-01-2019 00:00,24.7
30-01-2019 00:00,12.7
31-01-2019 00:00,12.5
02-02-2019 00:00,13
03-02-2019 00:00,12.6
04-02-2019 00:00,12.4
05-02-2019 00:00,13.3
06-02-2019 00:00,12.5
07-02-2019 00:00,17
08-02-2019 00:00,21.5
09-02-2019 00:00,25.2
10-02-2019 00:00,26.4
11-02-2019 00:00,27.1
12-02-2019 00:00,26.7
13-02-2019 00:00,24.9
14-02-2019 00:00,29.6
15-02-2019 00:00,30.2
16-02-2019 00:00,31.5
17-02-2019 00:00,30.9
18-02-2019 00:00,30.4
19-02-2019 00:00,29.8
20-02-2019 00:00,27.4
21-02-2019 00:00,28.9
22-02-2019 00:00,29.4
23-02-2019 00:00,29.2
24-02-2019 00:00,30.3
25-02-2019 00:00,30.5
26-02-2019 00:00,28.8
27-02-2019 00:00,27
28-02-2019 00:00,28.4
02-03-2019 00:00,28.6
03-03-2019 00:00,29.2
04-03-2019 00:00,30.8
05-03-2019 00:00,31.8
06-03-2019 00:00,30.8
07-03-2019 00:00,27.7
08-03-2019 00:00,28.7
09-03-2019 00:00,29.4
10-03-2019 00:00,30
11-03-2019 00:00,30.7
12-03-2019 00:00,29.8
13-03-2019 00:00,31.5
14-03-2019 00:00,27.7
15-03-2019 00:00,13.6
16-03-2019 00:00,14
17-03-2019 00:00,14.7
18-03-2019 00:00,15.6
19-03-2019 00:00,16.1
20-03-2019 00:00,15.9
21-03-2019 00:00,16.7
22-03-2019 00:00,27.9
23-03-2019 00:00,28.4
24-03-2019 00:00,28.6
25-03-2019 00:00,28.2
26-03-2019 00:00,29.2
27-03-2019 00:00,29.1
28-03-2019 00:00,25.8
29-03-2019 00:00,26.9
30-03-2019 00:00,26.2
31-03-2019 00:00,26.7
02-04-2019 00:00,25.5
03-04-2019 00:00,25.6
04-04-2019 00:00,25.1
05-04-2019 00:00,23.1
06-04-2019 00:00,28.6
07-04-2019 00:00,29.8
08-04-2019 00:00,30.8
09-04-2019 00:00,30.8
10-04-2019 00:00,29.5
11-04-2019 00:00,30.4
12-04-2019 00:00,26.9
13-04-2019 00:00,28.7
14-04-2019 00:00,29.1
15-04-2019 00:00,30.8
16-04-2019 00:00,31.3
17-04-2019 00:00,31.7
18-04-2019 00:00,31.5
19-04-2019 00:00,28.5
20-04-2019 00:00,27.5
21-04-2019 00:00,28.9
22-04-2019 00:00,29.2
23-04-2019 00:00,29.1
